dbn,school_name,school_type,enrollment,rigor_instruction_rating,collab_teachers_rating,support_environ_rating,effective_lead_rating,fam_comm_ties_rating,trust_rating,student_achieve_rating,pct_pos_rigor_instruction,pct_pos_collab_teachers,pct_pos_supportive_environ,pct_pos_effective_lead,pct_pos_fam_comm_ties,pct_pos_trust,qr_challenge_curriculum,qr_effective_teaching_learning,qr_assess_student_learning,qr_high_expectations,qr_teacher_collab,qr_dates_of_review,pct_ell,pct_disabilities,pct_self_contained,economic_need_index,pct_temp_housing,pct_hra_eligible,pct_asian,pct_black,pct_hispanic,pct_white,yrs_principal_exp,pct_teachers_>=3_yrs_exp,student_attendance_rate,pct_chronic_absent,teacher_attendance_rate,sqr_rating,borough
28Q354,The Jermaine L. Green STEM Institute of Queens,Elementary,547,1.0,0.75,0.75,0.75,1.0,0.75,0.75,0.87,0.84,0.85,0.88,0.96,0.9,0.5,0.5,0.5,0.5,1,March 2018,0.033,0.186,0.038,0.68,0.112,0.609,0.02,0.861,0.09,0.007,5.5,0.778,0.929,0.243,0.953,6.0,queens
28Q358,M.S. 358,Middle,362,1.0,1.0,0.75,0.75,0.75,1.0,1.0,0.87,0.94,0.8,0.97,0.92,0.94,0.5,1.0,1.0,0.5,0.5,April 2018,0.163,0.199,0.072,0.758,0.113,0.685,0.243,0.238,0.467,0.019,4.1,0.533,0.939,0.181,0.965,6.0,queens
28Q680,Queens Gateway to Health Sciences Secondary School,Middle,285,0.75,0.5,0.75,0.5,0.5,0.25,1.0,0.71,0.65,0.61,0.63,0.78,0.67,0.5,1.0,1.0,0.5,1,December 2017,0,0.13,0.007,0.557,0.046,0.463,0.579,0.232,0.084,0.049,7.2,0.7,0.977,0.021,0.961,2.0,queens
28Q896,"Young Women's Leadership School, Queens",Middle,248,0.75,1.0,0.75,1.0,0.75,0.75,0.75,0.81,0.82,0.74,0.83,0.88,0.89,0.5,1.0,1.0,0.5,0.5,October-18,0.016,0.141,0.004,0.588,0.073,0.5,0.427,0.379,0.129,0.016,6.1,0.914,0.967,0.04,0.981,5.0,queens
29Q015,P.S. 015 Jackie Robinson,Elementary,404,0.75,0.75,0.75,0.75,1.0,0.75,0.5,0.86,0.84,0.79,0.85,0.95,0.92,0.5,1.0,1.0,0.5,1,November 2016,0.045,0.178,0.067,0.666,0.149,0.582,0.015,0.876,0.079,0.007,1.8,0.679,0.926,0.252,0.967,6.0,queens
29Q033,P.S. 033 Edward M. Funk,Elementary,952,0.75,0.75,0.75,0.75,1.0,1.0,0.5,0.89,0.95,0.93,0.94,0.96,0.97,1.0,1.0,1.0,0.5,0,March 2018,0.175,0.144,0.061,0.602,0.043,0.535,0.491,0.144,0.241,0.04,3.5,0.934,0.939,0.182,0.952,7.0,queens
29Q034,P.S. 034 John Harvard,Elementary,565,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.64,0.59,0.67,0.69,0.93,0.75,0.5,0.5,1.0,0.5,0.5,December 2017,0.106,0.168,0.085,0.694,0.149,0.614,0.127,0.665,0.163,0.012,15.4,0.526,0.932,0.23,0.971,4.0,queens
29Q035,P.S. 035 Nathaniel Woodhull,Elementary,640,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.69,0.68,0.64,0.94,0.82,1.0,0.0,0.0,1.0,1,January 2017,0.148,0.158,0.073,0.731,0.092,0.669,0.281,0.334,0.267,0.031,13.2,0.913,0.934,0.214,0.955,5.0,queens
29Q036,P.S. 036 Saint Albans School,Elementary,408,0.75,0.75,0.75,0.75,1.0,0.75,0.25,0.68,0.75,0.68,0.74,0.96,0.87,1.0,1.0,1.0,0.5,1,December 2017,0.066,0.228,0.086,0.705,0.218,0.64,0.025,0.811,0.115,0.005,13.7,0.839,0.922,0.27,0.954,6.0,queens
29Q037,Cynthia Jenkins School,Elementary,391,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.58,0.63,0.67,0.53,0.88,0.75,1.0,1.0,0.0,1.0,1,October-18,0.036,0.228,0.118,0.736,0.207,0.66,0.028,0.849,0.105,0.005,4.3,0.939,0.91,0.358,0.95,3.0,queens
29Q038,P.S. 038 Rosedale,Elementary,283,0.75,0.5,0.75,0.75,1.0,1.0,0.75,0.9,0.91,0.86,0.95,0.98,0.96,1.0,1.0,0.0,1.0,0,April 2017,0.057,0.166,0.071,0.501,0.067,0.466,0.025,0.869,0.078,0.021,4.9,0.905,0.93,0.234,0.967,7.0,queens
29Q052,P.S. 052 Queens,Elementary,380,0.5,0.5,0.75,0.75,0.75,0.75,0.25,0.73,0.87,0.78,0.88,0.95,0.93,0.0,0.0,0.0,1.0,0,October 2017,0.071,0.245,0.079,0.777,0.311,0.726,0.05,0.763,0.145,0.016,0.9,0.882,0.903,0.374,0.959,5.0,queens
29Q059,I.S. 059 Springfield Gardens,Middle,599,0.75,0.75,0.5,0.75,1.0,0.75,0.75,0.81,0.86,0.65,0.91,0.94,0.86,1.0,1.0,1.0,0.5,1,March 2017,0.033,0.19,0.072,0.603,0.095,0.543,0.02,0.868,0.058,0.01,1,0.976,0.903,0.306,0.98,6.0,queens
29Q095,P.S. 095 Eastwood,Elementary,1441,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.86,0.93,0.88,0.95,0.99,0.96,0.5,1.0,0.5,0.5,0.5,"October 27, 2014",0.204,0.126,0.037,0.756,0.13,0.668,0.429,0.099,0.397,0.014,7.7,0.921,0.901,0.362,0.971,7.0,queens
29Q109,Jean Nuzzi Intermediate School,Middle,1164,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.81,0.81,0.67,0.77,0.86,0.84,1.0,0.5,1.0,0.5,1,March 2017,0.07,0.162,0.054,0.57,0.063,0.496,0.321,0.405,0.183,0.033,7.7,0.842,0.934,0.205,0.966,4.0,queens
29Q116,P.S./I.S. 116 William C. Hughley,K-8,728,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.69,0.67,0.62,0.7,0.93,0.79,1.0,1.0,1.0,1.0,1,March 2018,0.199,0.24,0.122,0.805,0.246,0.727,0.08,0.51,0.37,0.014,7.9,0.817,0.908,0.359,0.953,4.0,queens
29Q118,P.S. 118 Lorraine Hansberry,Elementary,419,0.5,0.5,0.75,0.5,0.75,0.5,0.25,0.66,0.76,0.73,0.67,0.93,0.77,0.0,1.0,0.0,1.0,1,April 2017,0.088,0.21,0.105,0.734,0.124,0.687,0.053,0.737,0.16,0.024,3,0.879,0.931,0.224,0.938,4.0,queens
29Q131,P.S. 131 Abigail Adams,Elementary,748,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.8,0.63,0.86,0.65,0.94,0.79,1.0,1.0,0.5,0.5,1,February-19,0.16,0.12,0.032,0.678,0.142,0.587,0.766,0.055,0.103,0.052,4.1,0.875,0.939,0.189,0.95,5.0,queens
29Q132,P.S. 132 Ralph Bunche,Elementary,331,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.89,0.95,0.87,0.97,0.98,0.97,1.0,1.0,1.0,0.5,1,January 2018,0.042,0.236,0.091,0.646,0.16,0.58,0.012,0.894,0.076,0.006,15.7,0.867,0.929,0.223,0.947,7.0,queens
29Q134,P.S. 134 Hollis,Elementary,309,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.67,0.6,0.51,0.63,0.91,0.76,0.0,0.0,1.0,1.0,1,March 2018,0.129,0.191,0.078,0.739,0.149,0.689,0.052,0.741,0.162,0.013,1.9,0.97,0.919,0.28,0.948,4.0,queens
29Q135,The Bellaire School,Elementary,849,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.78,0.78,0.75,0.81,0.95,0.88,1.0,1.0,1.0,1.0,1,May 2017,0.171,0.198,0.068,0.604,0.062,0.556,0.353,0.25,0.214,0.04,4.3,0.923,0.935,0.221,0.956,5.0,queens
29Q136,P.S. 136 Roy Wilkins,Elementary,533,0.75,1.0,0.75,0.75,0.75,1.0,0.5,0.86,0.94,0.87,0.92,0.94,0.94,0.5,1.0,1.0,0.5,0.5,January 2018,0.06,0.163,0.083,0.693,0.116,0.64,0.028,0.85,0.098,0.017,12.4,0.85,0.913,0.311,0.97,6.0,queens
29Q138,P.S./M.S. 138 Sunrise,K-8,672,0.75,0.75,0.75,1.0,0.75,0.75,0.5,0.81,0.84,0.67,0.89,0.95,0.88,1.0,0.5,1.0,1.0,1,April 2017,0.068,0.179,0.097,0.64,0.08,0.58,0.036,0.772,0.125,0.037,8.2,0.98,0.92,0.262,0.965,5.0,queens
29Q147,P.S./M.S. 147 Ronald McNair,K-8,551,0.75,0.75,0.5,0.75,0.75,0.75,0.5,0.8,0.78,0.67,0.85,0.94,0.88,1.0,1.0,1.0,1.0,1,March 2018,0.056,0.218,0.105,0.583,0.138,0.532,0.016,0.88,0.078,0.009,3,0.851,0.921,0.255,0.969,5.0,queens
29Q156,P.S. 156 Laurelton,Elementary,215,0.5,0.75,0.5,0.75,0.75,0.75,0.25,0.79,0.84,0.76,0.84,0.92,0.85,1.0,0.0,1.0,0.5,1,December 2017,0.065,0.163,0.093,0.618,0.098,0.563,0.028,0.888,0.065,0.005,5.5,0.941,0.873,0.445,0.977,5.0,queens
29Q176,P.S. 176 Cambria Heights,Elementary,704,0.75,0.5,0.5,0.25,0.75,0.5,0.5,0.72,0.7,0.73,0.68,0.94,0.79,1.0,1.0,0.5,1.0,1,"April 1, 2015",0.009,0.125,0.05,0.389,0.026,0.348,0.037,0.737,0.051,0.01,1,0.841,0.945,0.138,0.966,4.0,queens
29Q181,P.S. 181 Brookfield,Elementary,294,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8,0.79,0.78,0.82,0.94,0.87,1.0,1.0,1.0,0.5,0.5,March-19,0.041,0.286,0.163,0.614,0.095,0.551,0.027,0.738,0.156,0.014,7,0.818,0.916,0.281,0.962,5.0,queens
29Q192,I.S. 192 The Linden,Middle,492,0.75,0.75,1.0,0.75,1.0,1.0,0.5,0.94,0.88,0.89,0.91,0.98,0.94,1.0,1.0,1.0,1.0,1,January 2017,0.081,0.234,0.067,0.609,0.128,0.543,0.045,0.774,0.104,0.004,17.1,0.97,0.963,0.079,0.956,7.0,queens
29Q195,P.S. 195 William Haberle,Elementary,479,0.75,0.75,0.75,0.75,1.0,1.0,0.25,0.9,0.9,0.84,0.95,0.99,0.96,1.0,0.0,1.0,1.0,1,October 2016,0.029,0.184,0.094,0.576,0.1,0.522,0.023,0.898,0.067,0.004,16.9,0.946,0.92,0.275,0.951,7.0,queens
