dbn,school_name,school_type,fam_comm_ties_rating,trust_rating,pct_pos_fam_comm_ties,pct_pos_trust,pct_ell,pct_disabilities,pct_self_contained,economic_need_index,pct_temp_housing,pct_hra_eligible,pct_asian,pct_black,pct_hispanic,pct_white,student_attendance_rate
31R020,P.S. 020 Port Richmond,Elementary,0.75,0.75,0.95,0.86,0.388,0.386,0.2,0.916,0.131,0.865,0.011,0.16,0.765,0.042,0.927
31R021,P.S. 21 Margaret Emery-Elm Park,Elementary,1.0,1.0,0.97,0.95,0.145,0.382,0.064,0.873,0.13,0.812,0.014,0.298,0.572,0.095,0.903
31R022,P.S. 022 Graniteville,Elementary,0.75,0.75,0.93,0.89,0.178,0.301,0.151,0.792,0.124,0.717,0.089,0.22,0.565,0.096,0.918
31R023,P.S. 023 Richmondtown,Elementary,1.0,1.0,0.98,0.99,0.045,0.293,0.055,0.364,0.069,0.255,0.081,0.012,0.159,0.729,0.949
31R024,I.S. 024 Myra S. Barnes,Middle,0.75,0.75,0.92,0.89,0.023,0.25,0.071,0.352,0.038,0.273,0.062,0.016,0.16,0.748,0.943
31R026,P.S. 026 The Carteret School,Elementary,1.0,1.0,0.98,0.95,0.118,0.257,0.029,0.45,0.029,0.361,0.132,0.05,0.314,0.475,0.94
31R027,I.S. 027 Anning S. Prall,Middle,0.5,0.75,0.88,0.91,0.049,0.251,0.087,0.667,0.088,0.599,0.108,0.216,0.401,0.26,0.909
31R028,The Eagle Academy for Young Men of Staten Island,Middle,0.75,0.75,0.91,0.9,0.065,0.366,0.134,0.8,0.153,0.69,0.042,0.468,0.389,0.083,0.905
31R029,P.S. 029 Bardwell,Elementary,1.0,1.0,0.99,0.99,0.068,0.217,0.057,0.436,0.034,0.372,0.187,0.072,0.226,0.483,0.947
31R030,P.S. 030 Westerleigh,Elementary,1.0,0.75,0.95,0.94,0.082,0.248,0.064,0.343,0.04,0.255,0.103,0.031,0.243,0.59,0.941
31R031,P.S. 031 William T. Davis,Elementary,0.75,1.0,0.94,0.95,0.083,0.356,0.243,0.949,0.204,0.914,0.003,0.486,0.423,0.047,0.897
31R032,P.S. 032 The Gifford School,Elementary,1.0,0.5,0.95,0.78,0.051,0.27,0.078,0.307,0.008,0.258,0.086,0.005,0.16,0.728,0.937
31R034,I.S. 034 Tottenville,Middle,0.75,0.75,0.91,0.9,0.02,0.285,0.05,0.256,0.021,0.198,0.052,0.008,0.132,0.797,0.93
31R035,P.S. 35 The Clove Valley School,Elementary,1.0,1.0,0.98,0.93,0.032,0.228,0,0.334,0.034,0.245,0.113,0.093,0.211,0.52,0.95
31R036,P.S. 036 J. C. Drumgoole,Elementary,0.75,0.25,0.93,0.74,0.041,0.233,0.044,0.266,0.01,0.222,0.072,0.003,0.166,0.747,0.95
31R038,P.S. 038 George Cromwell,Elementary,1.0,0.5,0.95,0.8,0.245,0.221,0.076,0.626,0.027,0.545,0.179,0.039,0.306,0.452,0.939
31R039,P.S. 39 Francis J. Murphy Jr.,Elementary,1.0,1.0,0.97,0.94,0.168,0.288,0.074,0.655,0.086,0.583,0.177,0.084,0.324,0.398,0.92
31R041,The Stephanie A. Vierno School,Elementary,1.0,0.75,0.96,0.85,0.153,0.239,0.047,0.552,0.038,0.494,0.144,0.03,0.341,0.462,0.942
31R042,P.S. 042 Eltingville,Elementary,1.0,1.0,0.97,0.97,0.037,0.206,0.057,0.303,0.021,0.221,0.115,0.014,0.128,0.731,0.944
31R044,P.S. 044 Thomas C. Brown,Elementary,0.75,0.5,0.93,0.67,0.083,0.356,0.178,0.932,0.185,0.883,0.03,0.391,0.511,0.023,0.891
31R045,P.S. 045 John Tyler,Elementary,1.0,0.75,0.95,0.9,0.056,0.23,0.057,0.662,0.077,0.571,0.082,0.172,0.495,0.212,0.928
31R046,P.S. 046 Albert V. Maniscalco,Elementary,0.75,0.75,0.93,0.92,0.107,0.36,0.098,0.693,0.08,0.613,0.089,0.16,0.418,0.311,0.917
31R048,P.S. 048 William G. Wilcox,K-8,1.0,0.75,0.96,0.89,0.074,0.199,0.025,0.416,0.016,0.313,0.213,0.044,0.179,0.546,0.95
31R049,I.S. 49 Berta A. Dreyfus,Middle,0.25,0.25,0.74,0.73,0.135,0.34,0.163,0.883,0.181,0.822,0.086,0.348,0.482,0.071,0.91
31R050,P.S. 050 Frank Hankinson,Elementary,1.0,1.0,0.98,0.98,0.055,0.199,0.048,0.344,0.02,0.27,0.157,0.02,0.168,0.636,0.942
31R051,I.S. 051 Edwin Markham,Middle,0.75,0.75,0.91,0.89,0.076,0.302,0.114,0.729,0.108,0.65,0.05,0.225,0.484,0.225,0.9
31R052,P.S. 052 John C. Thompson,Elementary,1.0,1.0,0.97,0.98,0.185,0.222,0.039,0.541,0.077,0.444,0.203,0.012,0.193,0.569,0.948
31R053,The Barbara Esselborn School,Elementary,1.0,1.0,0.96,0.98,0.063,0.202,0.063,0.308,0.035,0.233,0.153,0.013,0.123,0.688,0.947
31R054,P.S. 054 Charles W. Leng,Elementary,1.0,0.75,0.97,0.89,0.068,0.272,0.093,0.508,0.025,0.434,0.348,0.067,0.205,0.355,0.943
31R055,P.S. 055 Henry M. Boehm,Elementary,1.0,0.75,0.95,0.92,0.038,0.26,0.04,0.287,0.005,0.247,0.057,0.004,0.125,0.808,0.938
31R056,P.S. 56 The Louis Desario School,Elementary,1.0,0.75,0.96,0.92,0.016,0.322,0.111,0.247,0.021,0.185,0.049,0.012,0.164,0.77,0.948
31R057,P.S. 057 Hubert H. Humphrey,Elementary,1.0,0.75,0.96,0.91,0.096,0.33,0.177,0.914,0.095,0.86,0.039,0.546,0.339,0.035,0.912
31R058,Space Shuttle Columbia School,Elementary,0.75,1.0,0.95,0.95,0.086,0.258,0.102,0.456,0.048,0.385,0.191,0.043,0.272,0.466,0.937
31R059,The Harbor View School,Elementary,0.75,0.75,0.95,0.93,0.004,0.264,0.011,0.621,0.106,0.438,0.019,0.34,0.423,0.136,0.938
31R060,P.S. 060 Alice Austen,Elementary,0.75,0.5,0.94,0.79,0.042,0.269,0.096,0.444,0.019,0.403,0.156,0.046,0.237,0.529,0.936
31R061,I.S. 061 William A Morris,Middle,0.5,0.5,0.85,0.83,0.112,0.301,0.148,0.802,0.163,0.722,0.034,0.334,0.475,0.142,0.904
31R063,Marsh Avenue School for Expeditionary Learning,Middle,1.0,1.0,0.94,0.93,0.022,0.244,0.024,0.384,0.024,0.28,0.109,0.093,0.291,0.489,0.949
31R065,P.S. 65 The Academy of Innovative Learning,Elementary,1.0,1.0,0.96,0.96,0.052,0.327,0.167,0.604,0.067,0.459,0.022,0.177,0.521,0.202,0.943
31R069,P.S. 069 Daniel D. Tompkins,Elementary,0.75,0.75,0.94,0.9,0.147,0.24,0.028,0.518,0.012,0.434,0.23,0.023,0.205,0.514,0.949
31R072,I.S. 072 Rocco Laurie,Middle,0.5,0.75,0.85,0.88,0.046,0.215,0.085,0.504,0.032,0.436,0.229,0.048,0.262,0.445,0.937
